item sound diff mask
25 Silence easy no
26 Silence easy yes
6 Silence easy yes
3 Silence easy no
5 Silence easy no
1 Silence easy no
2 Silence easy yes
4 Silence easy yes
11 English easy no
7 English easy no
8 English easy yes
9 English easy no
10 English easy yes
12 English easy yes
27 Silence difficult no
28 Silence difficult yes
16 Silence difficult yes
17 Silence difficult no
14 Silence difficult yes
15 Silence difficult no
18 Silence difficult yes
13 Silence difficult no
22 English difficult yes
21 English difficult no
19 English difficult no
23 English difficult no
24 English difficult yes
20 English difficult yes
