item sound diff mask
25 Silence easy yes
26 Silence easy no
3 Silence easy yes
5 Silence easy yes
4 Silence easy no
2 Silence easy no
1 Silence easy yes
6 Silence easy no
9 English easy yes
11 English easy yes
7 English easy yes
8 English easy no
10 English easy no
12 English easy no
27 Silence difficult yes
28 Silence difficult no
16 Silence difficult no
17 Silence difficult yes
15 Silence difficult yes
13 Silence difficult yes
14 Silence difficult no
18 Silence difficult no
23 English difficult yes
19 English difficult yes
24 English difficult no
21 English difficult yes
20 English difficult no
22 English difficult no
