item sound diff mask
25 Silence difficult yes
26 Silence difficult no
6 English difficult no
2 English difficult no
3 English difficult yes
4 English difficult no
1 English difficult yes
5 English difficult yes
7 Silence difficult yes
8 Silence difficult no
12 Silence difficult no
11 Silence difficult yes
9 Silence difficult yes
10 Silence difficult no
27 Silence easy yes
28 Silence easy no
18 English easy no
16 English easy no
14 English easy no
13 English easy yes
17 English easy yes
15 English easy yes
22 Silence easy no
19 Silence easy yes
20 Silence easy no
24 Silence easy no
21 Silence easy yes
23 Silence easy yes
