item sound diff mask
25 Silence difficult yes
26 Silence difficult no
2 Silence difficult no
4 Silence difficult no
5 Silence difficult yes
3 Silence difficult yes
6 Silence difficult no
1 Silence difficult yes
8 English difficult no
7 English difficult yes
12 English difficult no
11 English difficult yes
9 English difficult yes
10 English difficult no
27 Silence easy yes
28 Silence easy no
16 Silence easy no
13 Silence easy yes
15 Silence easy yes
18 Silence easy no
17 Silence easy yes
14 Silence easy no
21 English easy yes
22 English easy no
19 English easy yes
20 English easy no
23 English easy yes
24 English easy no
