item sound diff mask
25 Silence difficult no
26 Silence difficult yes
5 English difficult no
2 English difficult yes
6 English difficult yes
4 English difficult yes
1 English difficult no
3 English difficult no
9 Silence difficult no
8 Silence difficult yes
12 Silence difficult yes
11 Silence difficult no
7 Silence difficult no
10 Silence difficult yes
27 Silence easy no
28 Silence easy yes
14 English easy yes
17 English easy no
18 English easy yes
16 English easy yes
15 English easy no
13 English easy no
20 Silence easy yes
19 Silence easy no
24 Silence easy yes
21 Silence easy no
22 Silence easy yes
23 Silence easy no
