item sound diff mask
25 Silence difficult no
26 Silence difficult yes
6 Silence difficult yes
3 Silence difficult no
5 Silence difficult no
4 Silence difficult yes
1 Silence difficult no
2 Silence difficult yes
7 English difficult no
12 English difficult yes
10 English difficult yes
8 English difficult yes
11 English difficult no
9 English difficult no
27 Silence easy no
28 Silence easy yes
14 Silence easy yes
15 Silence easy no
16 Silence easy yes
13 Silence easy no
17 Silence easy no
18 Silence easy yes
20 English easy yes
21 English easy no
24 English easy yes
22 English easy yes
19 English easy no
23 English easy no
