item sound diff mask
25 Silence easy no
26 Silence easy yes
6 English easy yes
4 English easy yes
5 English easy no
1 English easy no
3 English easy no
2 English easy yes
8 Silence easy yes
10 Silence easy yes
11 Silence easy no
9 Silence easy no
7 Silence easy no
12 Silence easy yes
27 Silence difficult no
28 Silence difficult yes
16 English difficult yes
14 English difficult yes
18 English difficult yes
17 English difficult no
13 English difficult no
15 English difficult no
21 Silence difficult no
23 Silence difficult no
22 Silence difficult yes
24 Silence difficult yes
19 Silence difficult no
20 Silence difficult yes
